;num_a;num_b;num_c;num_ç;num_d;num_e;num_f;num_g;num_h;num_i;num_j;num_k;num_l;num_m;num_n;num_ñ;num_o;num_p;num_q;num_r;num_s;num_t;num_u;num_v;num_w;num_x;num_y;num_z;num_sch;num_ch;num_sh;num_gn;num_esszett;num_ssh;num_ix;num_ll;num_œ;num_à;num_á;num_â;num_ä;num_è;num_é;num_ê;num_ë;num_ì;num_í;num_î;num_ï;num_ò;num_ó;num_ô;num_ö;num_ù;num_ú;num_û;num_ü;num_consonants;num_vowels;num_triple_vowels;num_triple_consonants;num_capital;max_length_word;mean_length_words
8139;3;2;1;0;2;6;1;0;3;3;0;0;1;2;4;0;6;1;0;4;3;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;29;0;0;2;8;4.0
8140;3;1;1;0;1;5;0;0;3;1;0;1;2;1;3;0;8;0;0;2;4;3;1;0;3;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;28;0;1;1;7;4.181818181818182
8141;6;1;0;0;0;6;1;1;5;6;2;2;1;4;6;0;6;0;0;3;6;10;3;0;5;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;51;0;0;4;8;3.6363636363636362
8142;4;0;0;0;3;4;2;1;2;2;0;0;0;0;3;0;3;2;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;19;0;1;1;6;3.3
8143;10;4;3;0;1;11;4;0;2;2;0;2;3;3;2;0;7;0;0;8;3;7;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;43;0;2;2;10;5.428571428571429
8144;11;2;5;0;7;14;2;4;12;7;0;0;7;1;7;0;4;2;1;8;3;11;5;0;1;0;2;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;78;0;5;4;9;4.576923076923077
8145;3;0;0;0;3;5;1;3;8;0;0;1;1;2;2;0;7;0;0;4;1;7;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;35;0;2;1;8;4.583333333333333
8146;3;0;1;0;2;7;1;1;2;3;0;1;7;0;1;0;2;1;0;5;2;2;1;1;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;33;0;1;1;7;4.8
8147;5;1;2;0;1;8;3;2;3;5;0;0;7;1;3;0;3;2;0;3;4;5;1;0;2;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;42;0;0;1;8;5.166666666666667
8148;5;2;2;0;4;19;2;6;6;8;0;2;3;3;9;0;10;0;0;9;5;8;0;3;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;70;0;5;4;10;4.956521739130435
8149;5;1;2;0;3;3;3;4;4;7;0;1;0;1;8;0;6;1;0;2;4;6;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;44;0;1;2;8;5.0
8150;5;1;1;0;3;8;0;1;2;2;0;1;2;0;3;0;6;4;0;3;4;9;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;36;0;2;1;10;5.363636363636363
